test_number,date_time,B_n_slots,L_payload_size,R_random_seed,H,N,T_round,energy_savings
68673, 2019-06-17T19:16:01+02:00,5,8,23933,4,2,42236.0,32.583176026427566
68674, 2019-06-13T07:56:01+02:00,5,8,1318,4,2,42205.0,33.745049141851254
68675, 2019-06-19T13:09:01+02:00,5,8,32086,4,2,42144.0,33.62488702294527
68676, 2019-06-14T18:42:01+02:00,5,8,2922,4,2,42236.0,34.41201789803756
68677, 2019-06-17T13:40:01+02:00,5,8,20269,4,2,42236.0,32.56880733944954
68678, 2019-06-17T19:02:01+02:00,5,8,3669,4,2,42175.0,34.68647238915977
68679, 2019-06-14T01:05:01+02:00,5,8,13930,4,2,42236.0,34.30729360931011
68680, 2019-06-16T23:12:01+02:00,5,8,13333,4,2,42297.0,33.34720011462497
68681, 2019-06-15T09:45:01+02:00,5,8,19335,4,2,42205.0,34.57290132547865
68682, 2019-06-19T08:22:01+02:00,5,8,13132,4,2,42266.0,35.74657925212418
68683, 2019-06-16T02:47:01+02:00,5,8,9573,4,2,42175.0,35.407871044413476
68684, 2019-06-14T23:57:01+02:00,5,8,6285,4,2,42205.0,35.57951482479784
68685, 2019-06-19T17:14:01+02:00,5,8,8781,4,2,42205.0,33.081766649182384
68686, 2019-06-16T19:14:01+02:00,5,8,32377,4,2,42205.0,37.941970122680615
68687, 2019-06-18T16:09:01+02:00,5,8,16942,4,2,42205.0,31.82311011229539
68688, 2019-06-15T12:19:01+02:00,5,8,25340,4,2,42175.0,34.38092284365416
68689, 2019-06-18T23:16:01+02:00,5,8,12246,4,2,42266.0,33.43830082467598
68690, 2019-06-13T05:36:01+02:00,5,8,31231,4,2,42236.0,32.81053952321204
68691, 2019-06-18T07:10:01+02:00,5,8,15673,4,2,42236.0,32.861206246009175
68692, 2019-06-17T21:36:01+02:00,5,8,10134,4,2,42236.0,34.63292678806717
68693, 2019-06-19T03:35:01+02:00,5,8,29917,4,2,42236.0,30.94827054688945
68694, 2019-06-13T08:45:01+02:00,5,8,18774,4,2,42266.0,35.27872444011685
