test_number,date_time,B_n_slots,L_payload_size,R_random_seed,H,N,node_id,T_round,T_round_1slot,T_on_round,T_on_without_round,energy_savings
75256, 2019-10-18T07:44:01+02:00,5,8,25550,4,2,1,42144.0,14282.0,21606.0,32224.0,32.95059582919563
75256, 2019-10-18T07:44:01+02:00,5,8,25550,4,2,2,42144.0,14221.0,20843.0,31187.0,33.1676660146856
75256, 2019-10-18T07:44:01+02:00,5,8,25550,4,2,3,42144.0,14251.0,18768.0,29752.0,36.918526485614414
75256, 2019-10-18T07:44:01+02:00,5,8,25550,4,2,4,42083.0,14251.0,19256.0,29783.0,35.34566699123661
75256, 2019-10-18T07:44:01+02:00,5,8,25550,4,2,6,42114.0,14251.0,19836.0,33049.0,39.98002965293958
75256, 2019-10-18T07:44:01+02:00,5,8,25550,4,2,8,42144.0,14221.0,21026.0,30607.0,31.30329663148953
75256, 2019-10-18T07:44:01+02:00,5,8,25550,4,2,10,42114.0,14251.0,22979.0,34605.0,33.596301112555985
75256, 2019-10-18T07:44:01+02:00,5,8,25550,4,2,11,42236.0,14221.0,22308.0,36038.0,38.098673622287585
75256, 2019-10-18T07:44:01+02:00,5,8,25550,4,2,13,42114.0,14221.0,21972.0,35520.0,38.141891891891895
75256, 2019-10-18T07:44:01+02:00,5,8,25550,4,2,15,41992.0,14068.0,20202.0,26152.0,22.751605995717345
75256, 2019-10-18T07:44:01+02:00,5,8,25550,4,2,16,42144.0,14221.0,19348.0,29599.0,34.63292678806717
75256, 2019-10-18T07:44:01+02:00,5,8,25550,4,2,17,42114.0,14190.0,25665.0,35643.0,27.99427657604579
75256, 2019-10-18T07:44:01+02:00,5,8,25550,4,2,18,42114.0,14190.0,20477.0,34422.0,40.51188193597118
75256, 2019-10-18T07:44:01+02:00,5,8,25550,4,2,19,42114.0,14282.0,23895.0,34451.0,30.640620011030155
75256, 2019-10-18T07:44:01+02:00,5,8,25550,4,2,20,42114.0,14343.0,19958.0,34086.0,41.448101860001174
75256, 2019-10-18T07:44:01+02:00,5,8,25550,4,2,22,42236.0,14251.0,23681.0,34574.0,31.506334239602012
75256, 2019-10-18T07:44:01+02:00,5,8,25550,4,2,23,42144.0,14251.0,23803.0,36345.0,34.50818544504058
75256, 2019-10-18T07:44:01+02:00,5,8,25550,4,2,24,42144.0,14221.0,21392.0,33963.0,37.0138091452463
75256, 2019-10-18T07:44:01+02:00,5,8,25550,4,2,25,42114.0,14251.0,21240.0,32986.0,35.60904626205056
75256, 2019-10-18T07:44:01+02:00,5,8,25550,4,2,26,42236.0,14312.0,24414.0,35488.0,31.20491433724076
75256, 2019-10-18T07:44:01+02:00,5,8,25550,4,2,27,42144.0,14221.0,20599.0,34391.0,40.103515454624755
75256, 2019-10-18T07:44:01+02:00,5,8,25550,4,2,28,42114.0,14251.0,19866.0,33414.0,40.54587897288562
75256, 2019-10-18T07:44:01+02:00,5,8,25550,4,2,31,42144.0,14221.0,20111.0,32254.0,37.64804365350034
75256, 2019-10-18T07:44:01+02:00,5,8,25550,4,2,32,42175.0,14221.0,21545.0,31980.0,32.62976860537836
75256, 2019-10-18T07:44:01+02:00,5,8,25550,4,2,33,42144.0,14282.0,19348.0,33566.0,42.35833879520944
75257, 2019-10-19T18:51:01+02:00,5,8,31826,4,2,1,42175.0,14221.0,20782.0,31553.0,34.1362152568694
75257, 2019-10-19T18:51:01+02:00,5,8,31826,4,2,2,42175.0,14221.0,22430.0,30912.0,27.43918219461698
75257, 2019-10-19T18:51:01+02:00,5,8,31826,4,2,3,42144.0,14221.0,18585.0,29110.0,36.15596015115081
75257, 2019-10-19T18:51:01+02:00,5,8,31826,4,2,4,42144.0,14190.0,20019.0,30302.0,33.93505379182892
75257, 2019-10-19T18:51:01+02:00,5,8,31826,4,2,6,42175.0,14221.0,22277.0,32988.0,32.469382805868804
75257, 2019-10-19T18:51:01+02:00,5,8,31826,4,2,8,42175.0,14251.0,20202.0,30637.0,34.06012338022653
75257, 2019-10-19T18:51:01+02:00,5,8,31826,4,2,10,42175.0,14282.0,22827.0,35642.0,35.95477245945794
75257, 2019-10-19T18:51:01+02:00,5,8,31826,4,2,11,42205.0,14282.0,25024.0,36587.0,31.604121682564845
75257, 2019-10-19T18:51:01+02:00,5,8,31826,4,2,13,42144.0,14251.0,24444.0,36497.0,33.02463216154752
75257, 2019-10-19T18:51:01+02:00,5,8,31826,4,2,15,42022.0,14068.0,19500.0,27951.0,30.235054201996352
75257, 2019-10-19T18:51:01+02:00,5,8,31826,4,2,16,42175.0,14221.0,20080.0,31675.0,36.60615627466456
75257, 2019-10-19T18:51:01+02:00,5,8,31826,4,2,17,42144.0,14251.0,23651.0,35032.0,32.48744005480703
75257, 2019-10-19T18:51:01+02:00,5,8,31826,4,2,18,42144.0,14190.0,20538.0,32864.0,37.50608568646543
75257, 2019-10-19T18:51:01+02:00,5,8,31826,4,2,19,42144.0,14282.0,24688.0,37992.0,35.017898504948406
75257, 2019-10-19T18:51:01+02:00,5,8,31826,4,2,20,42144.0,14190.0,21240.0,35887.0,40.81422242037507
75257, 2019-10-19T18:51:01+02:00,5,8,31826,4,2,22,42175.0,14221.0,23681.0,33873.0,30.088861334986568
75257, 2019-10-19T18:51:01+02:00,5,8,31826,4,2,23,42175.0,14221.0,22003.0,35306.0,37.679148020166544
75257, 2019-10-19T18:51:01+02:00,5,8,31826,4,2,24,42175.0,14221.0,22155.0,33811.0,34.473987755464194
75257, 2019-10-19T18:51:01+02:00,5,8,31826,4,2,25,42175.0,14282.0,20568.0,37656.0,45.37922243467177
75257, 2019-10-19T18:51:01+02:00,5,8,31826,4,2,26,42236.0,14282.0,24414.0,38756.0,37.0058829600578
75257, 2019-10-19T18:51:01+02:00,5,8,31826,4,2,27,,,,,
75257, 2019-10-19T18:51:01+02:00,5,8,31826,4,2,28,42144.0,14190.0,19897.0,32316.0,38.4298799356356
75257, 2019-10-19T18:51:01+02:00,5,8,31826,4,2,31,42175.0,14221.0,23223.0,30149.0,22.972569571130055
75257, 2019-10-19T18:51:01+02:00,5,8,31826,4,2,32,42144.0,14190.0,19958.0,30210.0,33.93578285335981
75257, 2019-10-19T18:51:01+02:00,5,8,31826,4,2,33,42144.0,14251.0,21057.0,31248.0,32.613287250384026
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,1,42175.0,14221.0,20751.0,31217.0,33.52660409392318
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,2,42175.0,14190.0,20080.0,30454.0,34.06449070729625
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,3,42175.0,14221.0,17883.0,28256.0,36.71078708946772
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,4,42175.0,14221.0,20935.0,30607.0,31.600614238572877
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,6,42144.0,14190.0,18585.0,28959.0,35.82306018854242
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,8,42144.0,14221.0,19317.0,29844.0,35.27342179332529
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,10,42144.0,14190.0,21972.0,33018.0,33.454479374886425
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,11,,,,,
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,13,42144.0,14251.0,22735.0,35490.0,35.93970132431671
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,15,42022.0,14160.0,19470.0,27829.0,30.037011750332386
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,16,42175.0,14190.0,18676.0,28898.0,35.37269015156758
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,17,42144.0,14251.0,22735.0,36527.0,37.758370520436934
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,18,42175.0,14221.0,20690.0,32164.0,35.67342370351946
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,19,42144.0,14251.0,23468.0,35520.0,33.93018018018018
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,20,42144.0,14221.0,19897.0,32559.0,38.889400780122244
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,22,42175.0,14221.0,19836.0,32866.0,39.645834601107524
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,23,42175.0,14282.0,20568.0,34605.0,40.56350238404855
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,24,42175.0,14190.0,20568.0,32926.0,37.532648970418514
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,25,42266.0,14221.0,24505.0,30149.0,18.720355567348832
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,26,42144.0,14190.0,21362.0,29997.0,28.786211954528785
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,27,42175.0,14312.0,19958.0,34208.0,41.65692235734331
